,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.185688129240859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113870896940416,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0168967274785526,0,0,0,0,0,0,0,0.00278967606203996,0,0,0,0,0,0.0768699235635861,0.159721668741058,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0219636436924425,0.195508754698852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.148996961288985,0.0529124153871693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127843319968933,0,0,0,0,0
X939.HK.EQUITY,0.112394641535227,0,0,0,0,0,0,0,0.0729892260990555,0.0427319501256004,0,0,0.0626563266247309,0,0,0,0,0,0,0,0,0,0,0.0438980213967045,0,0,-0.0181321977853444,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.131687228779503,0,0,0,0,0,0,0,0,0,0,0,0,0.0256315224591041,0.0497407540201308,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0787516629314672,0,0,0,0,0,0,0.00442130040234672,0,0,0,0,0,0.0340873792863581,0.116947977148337,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.124808072786775,0,0,0,0,0,0,0.336704601709933,0,0,0,0,0,0,0,0,0.440188957300975,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.339715429595523,0,0,0,0,0.115690855223856,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290265221501683,0.0334122333270136,0.0784659985427083,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.115006248547128,0.042400205093916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142806523287865,0.110942387402056,0,0,0,0,0
X3988.HK.EQUITY,1.73472347597681e-18,0,0,0,0.150804805238418,0,0,0,0.107245721176047,0,0,0,0,0.0377804058508483,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280592658058781,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0366056672198268,0,0,0,0,0,0,0,0,0.014548685361762,0,0,0,0,0,0.0269248894787071,0.0514302009941027,0.0414545767599544,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.177853018117443,0,0,0,0,0.201772909435576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153204194265551,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.170700140262015,0,0,0,0.336892731450343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788325986226765,0.0382232889663271,0
X388.HK.EQUITY,0,-0.195639881170634,0,0,0,0,0,0,0.21612489078694,0,0,0,0.117370325618981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127344276229299,0,0.0731352951397705
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.18792383288567,0,0,0,0,0,0,0,0,0.385729758981348,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723269768852342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0288235201609972,0.0212422076358296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216031180720345,0.348851579461279,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0512456554272867,0.00442829332856863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569230727062442,0,0.0536405985827692,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0632568800424836,0.0387802621178657,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281293379276472,0.0280082739509534,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.00787423143288796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228374212324044,0,0,0,-0.0143136738236398,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.114703523324621,0.0257038085937566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570940780154712,0,0.100873759343019,0,0.0109725746963693,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0306830394420566,0,0,0,0,0,0,0,0.217407653499522,0.0147277736674774,0,0,0,0,0,0,0,0.111830231626575,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0197889043639416,0.122299771501849,0,0,0,0,0,0,0,0.0350997308669973,0,0,0,0,0,0,0,0.156325271986031,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.327493360875946,0.0311665741840955,0,0,0,0,0,0,0,0.00874075905816666,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0334272870401927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15483786912352,0,0.010751710556677,0
VXFXI.INDEX,0,0.0952441691747097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965581553176454,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,9.22506292738704e-09,0,0,0,0,0,0,0,7.01099276174213e-07,0,0,0,0,0,0,0,0,0,0,0,0.999957904704042,0.999941376411757
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0125266918397e-08,0.999981570479906,0,-0.999970066603062
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36105846055798e-06,0,0,0,0,0,0,0,0,0,-8.30622394922807e-07,0.999973014087403,-0.999983421172174,0
