"","date","FXI.US.EQUITY","VXFXI.INDEX","CN10YR","CN2YR","CN210SLOPE"
"1","20200416","0","0.72","0.16","0.08","0"
"2","20200417","0","0.68","0.36","0.08","0"
"3","20200420","0","0.64","0.24","0.08","0"
"4","20200421","0","0.6","0.36","0.12","0"
"5","20200422","0","0.6","0.24","0.12","0"
"6","20200423","0","0.64","0.4","0.16","0"
"7","20200424","0","0.68","0.32","0.12","0"
"8","20200427","0","0.72","0.4","0.12","0"
"9","20200428","0","0.72","0.28","0.12","0"
"10","20200429","0","0.68","0.28","0.16","0"
"11","20200430","0","0.64","0.4","0.16","0"
"12","20200506","0","0.48","0.24","0.08","0"
"13","20200507","0","0.64","0.28","0.12","0"
"14","20200508","0","0.44","0.32","0.08","0"
"15","20200511","0","0.6","0.28","0.16","0"
"16","20200512","0","0.36","0.4","0.08","0"
"17","20200513","0","0.64","0.08","0.12","0"
"18","20200514","0","0.56","0.04","0.08","0"
"19","20200515","0","0.56","0.08","0.12","0"
"20","20200518","0","0.6","0.04","0.08","0"
"21","20200519","0","0.6","0.08","0.12","0"
"22","20200520","0","0.64","0.08","0.16","0"
"23","20200521","0","0.64","0.08","0.16","0"
"24","20200522","0.04","0.52","0.12","0.08","0"
"25","20200525","0.04","0.64","0.08","0.08","0"
"26","20200526","0","0.68","0.04","0.08","0"
"27","20200527","0","0.64","0.04","0.04","0"
"28","20200528","0","0.68","0.04","0.08","0"
"29","20200529","0","0.76","0.04","0.08","0"
"30","20200601","0","0.76","0.04","0.04","0"
"31","20200602","0","0.8","0.08","0.08","0"
"32","20200603","0","0.8","0.08","0.08","0"
"33","20200604","0","0.72","0.08","0.2","0"
"34","20200605","0","0.76","0.08","0.08","0"
"35","20200608","0","0.68","0.08","0.08","0"
"36","20200609","0","0.84","0.04","0.12","0"
"37","20200610","0","0.8","0.12","0.16","0"
"38","20200611","0","0.76","0.08","0.16","0"
"39","20200612","0","0.68","0.04","0.24","0"
"40","20200615","0","0.76","0.04","0.12","0"
"41","20200616","0","0.64","0.12","0.2","0"
"42","20200617","0","0.72","0.04","0.2","0"
"43","20200618","0","0.64","0.08","0.16","0"
"44","20200619","0.04","0.68","0.04","0.08","0"
"45","20200622","0","0.76","0.04","0.12","0.04"
"46","20200623","0","0.56","0.08","0.12","0.04"
"47","20200624","0","0.56","0.08","0.12","0.04"
"48","20200629","0","0.56","0.08","0.04","0.08"
"49","20200630","0","0.56","0.24","0.04","0.12"
"50","20200701","0","0.6","0.36","0.16","0.12"
"51","20200702","0","0.8","0.24","0.04","0.12"
"52","20200703","0","0.88","0.2","0.04","0.12"
"53","20200706","0","0.68","0.24","0.16","0.08"
"54","20200707","0","0.64","0.16","0.08","0.08"
"55","20200708","0","0.6","0.08","0.16","0.08"
"56","20200709","0.04","0.56","0.12","0.12","0.16"
"57","20200710","0.04","0.6","0.12","0.12","0.16"
"58","20200713","0.04","0.44","0.12","0.2","0.24"
"59","20200714","0.04","0.44","0.12","0.12","0.04"
"60","20200715","0.04","0.52","0.16","0.12","0"
"61","20200716","0.04","0.32","0.16","0","0.08"
"62","20200717","0.04","0.4","0.2","0.08","0.08"
"63","20200720","0","0.44","0.16","0.12","0.04"
"64","20200721","0","0.4","0.08","0","0.04"
"65","20200722","0","0.48","0.2","0.04","0.04"
"66","20200723","0","0.4","0.24","0.16","0.08"
"67","20200724","0","0.4","0.24","0.04","0.08"
"68","20200727","0","0.44","0.16","0.08","0.12"
"69","20200728","0.04","0.4","0.2","0.12","0.12"
"70","20200729","0.04","0.4","0.2","0.08","0.12"
"71","20200730","0.04","0.4","0.2","0.08","0.12"
"72","20200731","0","0.4","0.08","0.16","0.12"
"73","20200803","0","0.36","0.08","0.16","0.04"
"74","20200804","0","0.36","0.12","0.16","0.04"
"75","20200805","0","0.36","0.24","0.16","0.04"
"76","20200806","0","0.4","0.12","0.2","0.04"
"77","20200807","0","0.44","0.16","0.16","0.04"
"78","20200810","0","0.4","0.12","0.16","0.04"
"79","20200811","0","0.4","0.12","0.16","0.04"
"80","20200812","0","0.4","0.12","0.12","0.04"
"81","20200813","0","0.44","0.12","0.12","0.04"
"82","20200814","0","0.32","0.08","0.2","0.04"
"83","20200817","0","0.36","0.04","0.2","0.04"
"84","20200818","0","0.32","0.04","0.16","0"
"85","20200819","0","0.36","0.12","0.12","0"
"86","20200820","0","0.32","0.08","0.08","0"
"87","20200821","0.04","0.36","0.12","0.24","0"
"88","20200824","0.04","0.36","0.08","0.16","0"
"89","20200825","0","0.36","0.08","0.16","0"
"90","20200826","0.04","0.32","0.08","0.12","0"
"91","20200827","0.04","0.44","0.08","0.12","0"
"92","20200828","0.04","0.36","0.08","0.08","0.04"
"93","20200831","0.04","0.32","0.12","0.16","0"
"94","20200901","0.04","0.36","0.08","0.08","0.04"
"95","20200902","0.04","0.28","0.08","0.04","0"
"96","20200903","0","0.28","0.04","0","0"
"97","20200904","0","0.28","0.08","0.04","0"
"98","20200907","0.04","0.28","0.04","0.08","0"
"99","20200908","0","0.28","0.04","0.08","0"
"100","20200909","0","0.36","0.04","0.04","0.04"
"101","20200910","0","0.28","0.04","0.04","0.04"
"102","20200911","0","0.28","0.04","0.04","0.08"
"103","20200914","0","0.28","0.04","0.08","0.04"
"104","20200915","0","0.36","0.04","0.08","0.04"
"105","20200916","0","0.28","0.04","0.08","0.04"
"106","20200917","0","0.28","0.08","0.08","0.04"
"107","20200918","0","0.24","0.08","0.08","0.04"
"108","20200921","0","0.2","0.04","0","0.04"
"109","20200922","0","0.16","0.04","0","0.04"
"110","20200923","0.04","0.24","0","0","0.04"
"111","20200924","0.04","0.4","0","0","0"
"112","20200925","0","0.44","0","0","0"
"113","20200928","0","0.32","0","0","0"
"114","20200929","0","0.32","0","0","0"
"115","20200930","0","0.28","0","0.04","0.04"
"116","20201009","0.08","0.68","0","0.16","0.12"
"117","20201012","0.04","0.48","0.04","0.04","0"
"118","20201013","0","0.44","0.04","0.04","0"
"119","20201014","0.04","0.4","0.04","0.04","0"
"120","20201015","0.04","0.6","0.04","0.04","0"
"121","20201016","0","0.52","0.04","0.04","0"
"122","20201019","0","0.48","0","0.04","0"
"123","20201020","0.04","0.52","0.04","0.04","0.04"
"124","20201021","0","0.56","0","0","0"
"125","20201022","0","0.56","0.04","0","0"
"126","20201023","0.04","0.48","0.04","0","0"
"127","20201026","0.04","0.4","0.04","0","0.04"
"128","20201027","0.08","0.52","0","0.04","0.08"
"129","20201028","0","0.56","0","0.04","0.04"
"130","20201029","0.04","0.56","0","0.04","0.04"
"131","20201030","0.04","0.6","0","0","0.04"
"132","20190416","0","0.68","0.04","0.08","0.04"
"133","20190417","0.04","0.6","0.04","0.16","0"
"134","20190418","0","0.72","0.08","0.12","0.04"
"135","20190419","0.04","0.84","0.04","0.08","0.04"
"136","20190422","0.04","0.72","0.04","0.12","0"
"137","20190423","0.08","0.72","0.04","0.16","0"
"138","20190424","0","0.76","0.08","0.12","0"
"139","20190425","0.04","0.56","0.08","0.12","0.08"
"140","20190426","0","0.6","0.04","0.12","0.04"
"141","20190429","0","0.8","0.04","0.16","0"
"142","20190430","0.04","0.8","0","0.2","0"
"143","20190506","0","0.68","0","0.16","0"
"144","20190507","0.08","0.68","0","0.12","0"
"145","20190508","0.04","0.72","0","0.12","0.04"
"146","20190509","0","0.8","0","0.12","0"
"147","20190510","0.04","0.76","0.04","0.12","0"
"148","20190513","0","0.84","0.04","0.12","0"
"149","20190514","0","0.76","0.04","0.2","0"
"150","20190515","0","0.88","0.04","0.16","0"
"151","20190516","0","0.88","0.04","0.08","0"
"152","20190517","0","0.76","0.04","0.04","0"
"153","20190520","0","0.88","0.04","0.12","0"
"154","20190521","0","0.8","0","0.12","0.04"
"155","20190522","0","0.68","0","0.16","0"
"156","20190523","0","0.64","0.08","0.28","0"
"157","20190524","0","0.8","0","0.2","0"
"158","20190527","0","0.8","0","0.12","0"
"159","20190528","0","0.68","0.04","0.16","0"
"160","20190529","0.04","0.8","0.12","0.12","0.04"
"161","20190530","0","0.88","0.12","0.12","0"
"162","20190531","0.04","0.88","0.12","0.2","0.04"
"163","20190603","0.04","0.8","0.12","0.16","0"
"164","20190604","0.04","0.92","0.12","0.2","0.04"
"165","20190605","0","0.88","0.16","0.16","0"
"166","20190606","0","0.8","0.16","0.12","0"
"167","20190610","0","0.84","0.2","0.2","0"
"168","20190611","0","0.88","0.16","0.16","0"
"169","20190612","0","0.92","0.16","0.12","0"
"170","20190613","0","0.92","0.16","0.16","0.04"
"171","20190614","0.08","0.92","0.16","0.16","0"
"172","20190617","0.04","0.92","0.2","0.16","0"
"173","20190618","0.04","0.92","0.2","0.2","0"
"174","20190619","0.04","0.84","0.16","0.12","0"
"175","20190620","0.08","0.84","0.16","0.16","0"
"176","20190621","0.08","0.92","0.2","0.08","0"
"177","20190624","0.08","0.84","0.2","0.12","0"
"178","20190625","0.08","0.88","0.24","0.16","0"
"179","20190626","0.04","0.84","0.16","0.08","0"
"180","20190627","0.04","0.84","0.2","0.08","0"
"181","20190628","0.04","0.88","0.12","0.12","0.04"
"182","20190701","0.08","0.84","0.08","0.16","0"
"183","20190702","0.08","0.84","0.08","0.12","0"
"184","20190703","0.08","0.88","0.04","0.12","0"
"185","20190704","0.08","0.76","0.08","0.16","0"
"186","20190705","0.04","0.76","0.04","0.08","0"
"187","20190708","0.04","0.76","0.08","0.08","0"
"188","20190709","0.04","0.72","0.08","0.08","0"
"189","20190710","0.04","0.76","0.08","0.04","0"
"190","20190711","0.04","0.76","0.04","0.08","0"
"191","20190712","0.04","0.76","0.04","0.12","0"
"192","20190715","0.04","0.6","0.08","0.12","0"
"193","20190716","0.04","0.72","0.08","0.12","0"
"194","20190717","0.04","0.8","0.04","0","0"
"195","20190718","0.04","0.8","0.04","0","0"
"196","20190719","0","0.8","0","0","0"
"197","20190722","0.04","0.76","0","0.04","0"
"198","20190723","0.04","0.84","0.04","0.04","0"
"199","20190724","0","0.76","0.04","0.04","0"
"200","20190725","0","0.84","0.04","0.04","0"
"201","20190726","0","0.8","0.04","0.04","0"
"202","20190729","0","0.8","0.04","0","0"
"203","20190730","0","0.72","0.04","0.04","0"
"204","20190731","0","0.72","0.04","0.04","0"
"205","20190801","0","0.64","0.04","0.08","0"
"206","20190802","0","0.6","0.16","0.04","0.04"
"207","20190805","0","0.88","0.04","0","0"
"208","20190806","0","0.8","0.12","0","0"
"209","20190807","0","0.84","0.24","0","0.08"
"210","20190808","0","0.84","0.2","0","0.08"
"211","20190812","0","0.8","0.08","0.04","0.04"
"212","20190813","0","0.72","0.04","0.04","0"
"213","20190814","0","0.72","0.12","0.04","0.04"
"214","20190815","0","0.76","0.16","0.04","0.04"
"215","20190816","0","0.76","0.08","0.04","0"
"216","20190819","0","0.76","0.12","0","0.04"
"217","20190820","0","0.8","0.04","0.04","0"
"218","20190821","0","0.8","0.04","0.04","0"
"219","20190822","0","0.88","0.16","0.04","0.04"
"220","20190823","0","0.84","0.12","0.04","0.04"
"221","20190826","0","0.68","0.16","0","0.04"
"222","20190827","0","0.76","0.16","0","0.04"
"223","20190828","0","0.64","0","0","0.04"
"224","20190829","0","0.72","0.04","0","0.04"
"225","20190830","0","0.76","0.08","0","0"
"226","20190902","0","0.68","0.12","0","0.08"
"227","20190903","0","0.68","0","0","0"
"228","20190904","0","0.76","0","0","0"
"229","20190905","0","0.6","0","0","0"
"230","20190906","0","0.72","0","0","0"
"231","20190909","0","0.64","0","0","0"
"232","20190910","0","0.76","0","0","0"
"233","20190911","0","0.68","0","0","0"
"234","20190912","0","0.72","0","0","0"
"235","20190916","0","0.6","0.08","0","0.04"
"236","20190917","0","0.64","0.04","0","0.04"
"237","20190918","0","0.72","0.08","0","0.04"
"238","20190919","0","0.52","0.04","0","0.04"
"239","20190920","0","0.8","0.08","0","0.08"
"240","20190923","0","0.72","0.04","0","0.04"
"241","20190924","0","0.76","0.04","0","0.04"
"242","20190925","0","0.84","0.12","0","0.04"
"243","20190926","0","0.84","0.12","0","0"
"244","20190927","0","0.84","0.12","0","0"
"245","20191008","0","0.8","0.04","0","0"
"246","20191009","0","0.8","0.04","0","0"
"247","20191014","0","0.88","0.04","0","0"
"248","20191015","0","0.64","0.04","0","0"
"249","20191016","0","0.72","0.08","0","0"
"250","20191017","0","0.76","0.04","0","0"
"251","20191018","0","0.72","0","0","0"
"252","20191021","0","0.68","0.08","0","0"
"253","20191022","0","0.72","0.12","0","0"
"254","20191023","0","0.84","0.08","0.04","0"
"255","20191024","0","0.72","0.04","0.04","0"
"256","20191025","0","0.72","0.08","0.04","0"
"257","20191028","0","0.8","0","0.04","0"
"258","20191029","0","0.76","0.04","0","0"
"259","20191030","0","0.92","0.04","0.04","0"
"260","20191031","0","0.84","0.04","0.04","0"
"261","20191101","0","0.88","0.08","0.04","0"
"262","20191104","0","0.8","0.04","0","0"
"263","20191105","0","0.84","0.04","0","0"
"264","20191106","0","0.88","0.04","0","0"
"265","20191107","0","0.8","0.08","0","0"
"266","20191108","0","0.8","0.12","0","0"
"267","20191111","0","0.68","0.08","0","0"
"268","20191112","0","0.56","0.04","0","0"
"269","20191113","0","0.64","0.08","0","0"
