,BTC,ETH,XRP,BCH,BSV,LTC,ADA,CRO,BNB,EOS,LINK,XTZ,XLM,HEX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0824352693187018,0,0,0.0699587630356489,0,-0.00000000000000000010842021724855,0,0,0.185306256505192,0,0.0931837768122527,0,0.0938279453875721,0,0,0,0,0,0
ETH,0,0,0,0,0.20305356198952,0,0.0383420287019651,0.0806547344024127,0,0.0774440662886198,0.0387708275436621,0.0161515314480623,0.0496230038635779,0.0810241231041865,0.0662836740839094,0,0.0629488395397758,0,0,0
XRP,0,0,0,0,0.208813957414012,0.051780323039183,0.095254557982523,0,0,0.189077003135535,0,0,0.0208866999882972,0.0304248640888094,0,0,0,0,0,0
BCH,0,0.0514636826235467,0,0,0.129784669311656,0.0553122598515844,0.0256032306632242,0.0787886381587218,0,0.417139532966985,0,0.0365474700363295,0,0.0340986894245115,0.0435964159403466,0,0,0,0,-0.0113520256673301
BSV,0,0.35550915007987,0.0697882617272511,0,0,0.17723538409934,-0.0111736447931262,0,0,0.16908274933089,0,0.0126022426113405,0,0,0,0,0,0,0,0.00705961956828698
LTC,0,0.16566672903626,0,0.0604390177192399,0.120419659759533,0,0.0647772549168509,0,0,0.230759929725168,0,0.0178050357286918,0,0.0506625714219923,0,0,0,0,0,0
ADA,0,0.49055327313321,0.100183002359629,0,0,0,0,0.118009971725268,0,0,0.252631717673932,0,0.220259784828516,-0.111731063212078,0,0,-0.100780748980317,0,0,-0.00596036937774745
CRO,0.897819860130134,0.0804567868003355,0,0,0,0,0,0,0,0,0,0.0235759858246814,0.208999065225411,0.00433468456967926,0,0,0.0918763661111391,0,0,-0.0107303256516366
BNB,0,0.137894400072451,0,0.150050944867595,0,0,0.129205740469246,0.0157979512906401,0,0.0878629280112779,0,0,0.0211300342551121,0.0235698799602056,0,0,0,0,0,0
EOS,0,0,0,0.435027158245254,0.0956481917702811,0,0.0406731606604,0,0,0,0.0142208483073071,0.00157209484934978,0,0.0522484520285219,0,0,0,0,0,-0.0684097185201853
LINK,0,0,0,0,0,0,0.312433676192576,0.160688697640352,0,0,0,0.340250212400853,0,0,0,0,0,0,0,0.0720580592137845
XTZ,0,0.000000000000000000216840434497101,0,0,0,0,0.0273845019303225,0.0406053084556177,0.155663268326083,0,0.358779756972341,0,0.17111081554141,-0.0104514193535907,0.0276337545056984,0,0,0,0,0.0170434632103969
XLM,0,0,0,0.186402139181037,0,0,0.304951735551155,0.0563132223829626,0,0,0.106862290667839,0.155532467513147,0,-0.0187896706473078,0,0,0.0622042879342425,0,0,0
HEX,0.307744449702763,0.478317876286279,0,0,0,0.122938740532094,0.288917350474387,-0.0970662105799527,0.762805946332809,0,0.350355321713172,0,-0.917530523455907,0,-0.163562647205642,0,0.313670612610942,0,0,0.0210314647035326
XMR,0,0.134171799723143,0,0,-0.032245086891208,0.198780225705643,0,0.129776516865767,0.32657457327415,0,0.0550236508256235,0.0643810977781965,0,0,0,0,-0.0141343808084544,0,0,-0.0057381062098201
BV010082.INDEX,0,0,0,0,0,0,0,0.0449277920181057,0,0,0.00000000000000000346944695195361,0.0240549631977034,0,0.00839679296851949,0,0,-0.0129342942289444,0,0,-0.0111129606465273
CVIX.INDEX,0,0.902867977504116,0,-1.37320212000562,0,-0.136758376550811,-0.117418638542552,0.272124879364793,0,0,0,0,0,0.0482098978259848,-0.0767573181544632,0,0,0,0,-0.0478186588250934
DXY.INDEX,0.110000037736303,-0.00846488524383238,0.0491268246020587,-0.0651297479290322,0,0,0.00406323016699224,0,0,-0.0304335022399801,-0.00431135433268117,0,0.0149714433442642,-0.018784023780842,-0.00500984064963319,0,0.0000000000000000000542101086242752,0,0,0.0108248620570464
SPX.INDEX,0,0,-0.0782790296263826,0,0,-0.0468693682295024,0,0,0,0,0,0.0375537919118345,0.0536422685443799,0.0478338144717802,0,0,0.00914558791260591,0,0,-0.146481600406385
VIX.INDEX,0,0,0,0,0,-0.0654015912073339,0,0.247692756123283,0.124935621806468,0,0,0,-0.0684546195783758,0,-0.249950868541738,0,0,0,-3.99027570512485,0
