,BTC,ETH,XRP,LINK,BCH,BSV,LTC,ADA,XTZ,BNB,CRO,EOS,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0450915738139231,0,0,0,0.0501271495209361,0,0,0.0292155386813229,0,0.203293575091171,0.228901749453924,0,0,0,0,0.018613111643003,0,0,0
ETH,0,0,0,0.0795636776780692,0,0,0,0.0195624520304615,0,0.0198600515236762,0.195497614198314,0,0.0525800301215518,0,0.148048970685165,0,0,0,0,0.00547596389441389
XRP,0,0,0,0,0.200522579981343,0.170078769402127,0.235714121269976,0.0381086318783627,0,0,0,0,0.0243178631353149,0,0,0,0,0,0,0
LINK,0,0,0,0,0.0764479918942756,0,0,0.398896296586946,0.174413844286408,0,0.268604441445414,0,0.182912857261384,0,-0.37689048053053,0,-0.169468857198967,0,0,0
BCH,0,0,0,0.0117004408488615,0,0.253804142276623,0.415604263147445,4.33680868994202e-19,-0.0244256129442128,0,0.037055832307073,0.161560383224503,0,0.133836331837675,0,0,0,0,0,0
BSV,0,0.092824102413269,0,-0.0244336341058654,0.351191969533348,0,0.273489429852162,-0.0287758062798017,0,0,0,0.220950494835192,0,0.0744236585319879,0.0213196332452883,0,0.00231215429909764,0,0,0
LTC,0,0.0756173968475341,0.0935674481961941,0,0.319298927436979,0.0204710819469217,0,-4.33680868994202e-19,0.0601431969092255,0.129598649564127,0,0.119060504827274,0,0.0186474951304706,0.0574431226990794,0,0,0,0,0
ADA,-0.545114446594699,0.24700729376703,0,0.112284350496664,0.0150682129130172,0.0303473111961701,0,0,0,0.289042225337607,0,0.418443907612013,0.126034739462162,0,0,0,-0.0583914936567055,0,0,-0.110014350842417
XTZ,0,0.105710619736364,0,0.388257244691864,0,0,0,0.0372587999998873,0,0.0175035473366779,0,0,0.161041320524758,0.119243091643751,0,0,0,0,0,0
BNB,0,0.441016099764343,0,0,0,0,0.0641333336908467,0,0,0,0,0,0.0102176364423385,0,0.165336144524989,0,0,0,0,0
CRO,0.905850912757001,0.0254765063982773,0,0,0,0,0,0,0.0175521962943459,0,0,0,0.173156693304958,0.0999370324471389,0,0,0.109043404132925,0,0,0.00898965505884838
EOS,0,0,0,-4.33680868994202e-19,0.379557302189859,0.167359807807195,0,0.0556010905090217,0.107746092856613,0,0,0,-1.0842021724855e-19,0,0.168272421044805,0,0,0,0,0
XLM,-0.0888497365901896,0,0.071859431138841,0.0285266694376768,0,0,0,0.303983132518552,0.106656866172326,0,0,0.312907498819716,0,0,0,0,0.0342009059471289,0,0,0.0261133433387774
XMR,0,0,0,0.0152971955491719,0.0429789047824744,0,0.216921875275252,0.0537771994235651,0.0854042941422958,0.26151033961281,0.146854227771239,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.00723355729337145,0,0,0,0.028629350109407,0.0852187994489832,0,0.0371061479623779,0.659021730127913,0.0917253510102191,0,0,0,-0.0212048356425733,0,0,0.0470126782769137
BV010082.INDEX,0,-0.103710638183366,0,0.0370077651244361,0.0501113107074943,0,0.0278319591200816,0,0.0167536101939321,0,0.059028831589383,0,-0.0346428210426122,0,0.00214092936100744,0,-0.0109642400422491,0,0.10598779637116,-0.00757278218076425
CVIX.INDEX,0.175249480431705,0.584368817597724,0,-0.0272034153818633,-0.980043029617985,0.188969794724119,0,-0.234789218170058,0,0,0.821234719419101,0,0.311442803776919,0,0,0,0,0,0,-0.0790625912477185
DXY.INDEX,0.0678554216148365,-0.0634125911505027,0.00644276020485551,-0.00868952190201329,-0.030531932004788,0,0,0,0.0169310390216858,0,0.0235413989731389,0,0,-0.0109679326764327,0.0106151155636351,0,0.00438343022184095,0,-0.0648192211157392,0.0113538144098645
SPX.INDEX,0,0,-0.0153665896048094,-0.00803435417583132,0,0,0,-0.0176452234542359,0.0541263505983933,0.0831007469069484,0,0,0.0243975526401344,0,-0.0817584715322346,0,0,0,0,-0.139248532134775
VIX.INDEX,0.726880046848544,0,0,-0.0026512869507479,0,0,-0.226635585091783,0.218794456097682,0.066521002730922,0.394056059349021,0,0,0,-0.155592169029285,-0.768284277334841,0,-0.179934500408464,0,-4.23091496985209,0
