,BTC,ETH,XRP,BCH,LINK,LTC,BSV,ADA,CRO,BNB,EOS,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0592457361176393,0,0.101581787162545,0,0,0.0593050455396463,0,0.185759554156172,0,0.0698280850019098,0.0392437925979422,0,0.00798859854836022,0,0,0.0245849081363696,0,0,0
ETH,0.0574532076949585,0,0.172048111220806,0,0.0613878275161645,0,0,0,0,0.215853602917962,0,0.129650524357236,0,0.059750200526703,0,0,0.0515985838912757,0,0,0.0666401408733661
XRP,0,0.119775167495402,0,0.281946807723586,0,0,0.014552336837484,0.0430907939433285,0,0,0,0,0.0599160660204519,0.117861921764919,0.0729010014107097,0,0,0,0,0
BCH,0,0.0369177065149417,0.0573394673488022,0,0,0.375629129279711,0.274312670678558,0,0.0765160871982585,0,0.063410727152099,0,0,0.00529607550672554,0.0497374239690006,0,0,0,0,0
LINK,0,0.912913320297344,0,0,0,-0.6761605459683,0,0.334491180582397,0,0.0851227007299511,0,0.238867337837572,0.259567705302032,0,0,0,0,0,0,-0.147685566506679
LTC,0,0.0414737186389257,0,0.23401269244301,0.0200324676645969,0,0.0432428393679173,0.0612308334056957,0,0.0534267194322314,0.305055953359587,0.0367866189845296,0,0,0.0141185639174615,0,0,0,0,0
BSV,0,0.0982722867130369,0,0.567982977462516,-0.011573834024666,0,0,0,0,0,0.198508877000333,0,-0.0482802904576264,0,0.04793762821794,0,0,0,0,0
ADA,-0.63061625795237,0.360218124971321,0,0.373793257942345,0.0612746873902523,0,0,0,0,0,0.109289743198983,0.089533379932707,0.102252734600672,0.0709225586229158,0,0,-0.0678294460787254,0,0,-0.0651608555267191
CRO,0.65716249196425,0.0683997978695677,0,0,0,0,0.0210775442761105,0,0,0,0,0,0,0,0,0,0.0924943491173917,0,0,0
BNB,0,0.165934325187932,0,0,0,0.213411534222174,0,0.0591670256791749,0,0,0,0,0.0476601301440381,0.0410097571159102,0,0,0,0,0,0
EOS,0,0,0,0.382332997691138,0,0.0816397697503495,0.152334594238557,0.056924428990244,0,0,0,0.096053217054425,0.0540245062617543,0.100280791050204,0,0,0,0,0,0
XTZ,0,0,0,0,0.357312647520916,0,0,0.0586905507914424,0,0.0480362206989293,0,0,0.17630096775022,0,0.247896083113614,0,0,0,0,0.0278230496383317
XLM,-0.184625879697001,0,0.222441161660669,0,0.0459189429572382,0,0,0.25828803323552,0,0.0705691556708347,0.258915935206171,0.0916019459823727,0,0.018208351370213,0,0,0.0308660263032036,0,0.223738386848404,0.0848259324336862
TRX,0,0.0169591718911825,0,0,0,0.466898472440421,0.154907488330229,0,-0.230656874866804,0.0210419085241342,0.0960421973541003,0.206765442440393,0.101476283981326,0,0.130084011127019,0,-0.00589940982916171,0,0,0
XMR,0,0.320451889884538,0,0,0.0255013713710399,0.167176392581589,6.93889390390723e-18,0,0,0,0,0.110680186986856,0,0.117811447282108,0,0,0,0,0,0
BV010082.INDEX,0,-0.0756985606253543,0,0.141346171016519,0.0294644591098429,0,-0.0242328271524821,-0.0159713044393964,0.027888960079319,0.0496187205059512,-0.0794928838835894,0,-0.0252931596632204,0.00854905708191515,0,0,-0.00694745493493503,0,0.0466279652522694,-0.0348018387562047
CVIX.INDEX,0,0,0,0,0.0222440737772926,0,0,0,0.42326455961877,0,0,0,0.0823533851592516,0,0,0,0,0,0,-0.00494514729843498
DXY.INDEX,0.0356038071169961,0,0,-0.034807321945879,-0.00684376970621556,0.00101329263354012,-2.16840434497101e-19,0.00776505506132278,0,0,0.0191727071846619,0.00349250855958454,0,0.0182238213071115,-0.0158648299532061,0,0.0110534120432249,0,0,0.0113074411331283
SPX.INDEX,0,0,-0.0731411763605269,0.0281943882622082,-0.00996264277029975,0,0,-0.0422346812654333,0,0.0951413064612881,0,0.0419197524496046,0.0692019959894724,-0.0523464497294922,0,0.143157940037082,0.0296898792011852,0,0,-0.150986588143623
VIX.INDEX,0.508902025610801,0,0,0.255019902985852,-0.0272399715349134,0,-0.612602706749451,0.000873733213077226,0,0.350074196202764,0,0.0988727364936501,-0.182142956188519,-0.0720396041419513,-0.105877783705858,0,-4.33680868994202e-19,0,-3.88064916878385,0
