,BTC,ETH,XRP,BCH,LINK,BSV,LTC,ADA,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.141074024919181,0,0,0,0.106965437428386,0,0,0,0.0743542154507656,0,0.0270313619405261,0,0,0,0,0,0,0,0.0280559810643375
ETH,0,0,0,0,0.0845960676773186,0.0829767139763937,0.073939376692084,0,0.151684884015552,0.0842036678034551,0,0,0,0,0.192776072981129,0,0,0,0,0
XRP,0,0,0,0.123698716882274,0,0.105259890120568,0.270474145446241,0,0,0,0,0,0.0563912891279237,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.246977317991682,0.137364277528315,0,0,0.0517244126530819,0.335879437718493,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.124596948103297,0,0,0,0.789628347201187,0,0,0,0,0,0,0,0
BSV,0,0.129432073723268,0,0.247229853810268,0.0118507778531915,0,0,0,0,0,0.304223301739362,0,0,0,0,0,0,0,0,-0.00395797788717299
LTC,0,0.0835042382881813,0,0.437693586322627,0.0202381618498291,0.0346532258245947,0,0.022861481295211,0,0,0.0866790898855206,0.0129237879784372,0,0,0,0,0,0,0,0
ADA,0,0.0607625922928731,0,0,0.111264365624352,0,0,0,0,0,0,0.226168312070557,0.00395074461559389,0,0.334611984173028,0,-0.0437185947110636,0,0,0
BNB,0,0.125394105563006,0,0,0.0836640468459627,0,0.159187155036232,0.0639105399473254,0,0.0474176894737297,0,0.0293610152868885,0,0,0,0,0,0,0,0
CRO,0.61079654009356,0.152382416411378,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0974761916404778,0,0.0726064113235895,0,0,0
EOS,0,0,0,0.316099628733033,0,0.204640760833607,0,0.0333665455937037,0,0,0,0,0.0680849761376114,0,0.0940129939175155,0,0,0,0,0
XTZ,0,0,0,0.162015829322175,0.424898469937895,0,0,0.0109978786532142,0,0,0,0,0.0937814956101088,0.0314390401200905,0.0441066648461739,0,0,0,0,0
XLM,0,0,0,0,0.0415930586079827,0,0,0.203152393858387,0,0,0,0.244529404909347,0,0,0,0,0,0,0,0
XMR,0,0.0898207498786482,0,0.218822985173531,3.46944695195361e-18,0,0,0,0.168637863369821,0.0631867897493379,0,0.0682707052620641,0,0,0,0,-0.0600174273697323,0,0,0
TRX,0,0,0,0,0,0.152122471001109,0,0.110994422219578,0,0,0.286181968411036,0,0.12199367139824,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.027947200822132,0,0,0.0229422175347878,0,0,0.0304345232436891,0,0.0663491022621549,0,0.0389393387315667,-0.102118512288399,0.0522377775187095,0,0,-0.0109189202241595,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,-0.0776481844569204,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.0744076047702895,0,0,-0.0474336298760527,0.0109841060002606,0,0,0.00264818039841619,0,0.00629649543172068,0,0.012527824897572,0.00415174648380704,-0.0354333960542854,0.00589669903892312,0,0.00295458302953608,0,-0.0192631681255019,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0058064798775379,0,0,-0.153390429209904
VIX.INDEX,0,0,0.169777004573579,0,0,0,0,-0.0314927291210847,0.0595823477061335,0.0319185439198428,0,-0.00734254631882334,-0.13324583684276,0,0,0,0,0,-3.50539846017852,0
