,BTC,ETH,XRP,BCH,BSV,ADA,LINK,LTC,BNB,CRO,XTZ,EOS,XLM,XMR,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.179774065945361,0,0.0657109893765691,0,0.0495365161122572,0,0,0,0.033514393041876,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.109067187275349,0.132202691362152,0.190049128927456,0,0,0,0.0372351694736759,0.0707865330736535,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.00418645584924467,0.225495155038972,0.0742224744021751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0680955950761982,0,0,0.285769588111389,0.0793217210848858,0,0,0,0.0932165501533115,0,0.07122842977631,0,0,0,0,0,0,0,0
BSV,0,0.0518366338511085,0,0.320263936125067,0,0,0.0452704139848086,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.158089143445946,0,0,0,0,0.161393474188582,0.130866013875843,0,0,0.207005179325073,0,0.240218632785723,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0.131868891026002,0,0,0,0,0.348913271429669,0,0,0,0,0,0,0,0,0.0294098602013515
LTC,0,0.0653002117536513,0,0.0743101901318486,0.1763351880594,0.131555126831527,0,0,0,0.00688477250580822,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.194394817067839,0,0,0,0.0627300413348168,0.125573433554693,0,0,0,0,0,0,0,0,0
CRO,0,0.238792627003391,0,0.186368857545558,0,0.13507476271253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021906213944856
XTZ,0,0,0,0,0,0.210280825569007,0.271002676028507,0,0,0.0484537334435917,0,0,0,0.064365553981316,0,0,0,0,0,0
EOS,0,0.013262563382986,0,0.286755406713739,0.128284901484373,0.0532569450549376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.188859583321527,0,0,0,0.176123713005334,0.0680241300081733,0,0,0,0.12188955051789,0,0,0,0,0,0,0,0,0
XMR,0,0.213537400997399,0,0,0,0.0532092027001701,0,0,0,0,0.185402298490737,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102941793783457
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145706884975249
VIX.INDEX,0,0,0,0,0,0,0.00000640379374847434,0,0,0,0,0,0,0,0,0,-0.2324943385457,0,-1.98163283285319,0
