,BTC,ETH,XRP,BCH,BSV,ADA,LTC,CRO,BNB,EOS,LINK,XTZ,XLM,HEX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.116290805148382,0,0,0,0.027954962308376,0,0,0,0,0,0,0,0.0597099863991628,0,0,0,0,0,0
ETH,0,0,0,0,0.175374105853053,0.207009464609422,0,0.0579508327409838,0,0,0,0,0,0.085118500138839,0,0,0,0,0,0
XRP,0,0,0,0,0.234232349905156,0.05747050431917,0.0641249692509955,0,0,0,0,0,0,0.0025752690557631,0,0,0,0,0,0
BCH,0,0,0,0,0.254996839798031,0.0932873737733529,0,0,0,0,0,0,0,0.0660899186795852,0,0,0,0,0,0
BSV,0,0.00481569323428812,0,0.332006460146515,0,0.0517057079660328,0.168686406493646,0,0,0,0,0,0,0.0226795097238676,0,0,0,0,0,0
ADA,0,0.169040136437417,0,0,0,0,0.160027243830976,0,0,0,0,0.165365629668609,0.51305379840664,0,0,0,-0.193055722503564,0,0,0
LTC,0,0,0,0,0.11058812468468,0.13141560391241,0,0,0,0,0,0,0,0.042252245285647,0,0,0,0,0,0
CRO,0.484955676272983,0,0.164717212046725,0,0,0.0208750548105941,0,0,0,0,0,0,0,0.0244510943869381,0,0,0,0,0,0
BNB,0,0.0299358355022127,0,0,0,0.162083094531725,0,0,0,0,0.0518721177694871,0.0662134596777396,0,0.0657235808567588,0,0,0,0,0,0
EOS,0,0,0,0.273595429788712,0.122936553285978,0.0190077555996708,0.0834081228893412,0,0,0,0,0,0,0.00554894636489373,0,0,0,0,0,0
LINK,0,0,0,0,0,0.0851748736730376,0,0,0,0,0,0.664464878087465,0,0,0,0,0,0,0,0.0182869347601445
XTZ,0,0,0,0,0,0.0663248790785882,0,0,0,0,0.498326043368074,0,0,0,0,0,0,0,0,0
XLM,0,0.0362754375777039,0,0,0,0.266553721400485,0,0,0,0,0.0902257000266254,0.183126301096264,0,0,0,0,0,0,0,0
HEX,0,0.461692507132486,0,0,0,0,0.172064661606193,0,0.111477329873863,0,0.0995698158553265,0,0,0,0,0,0,0,0,0.106078021326876
XMR,0,0.170225299847463,0,0.0308686069908372,0,0.0591065986833507,0,0,0,0,0,0.110737890270444,0,0.0196142666013921,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172777858160291,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102961419985847
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000012642198889288,0,0,0,0,0,-0.147075553452373
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.00000108817325003124,0,0,0.00000341183458189406,0,0,0,0,-1.98157647273903,0
