,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,ADA,LINK,XLM,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00295558820885585,0.227511760303177,0,0,0.125374359571265,0,0,0.204208806500566,0,0,0,0,0.11645641056707,0,0,0,0,0,0.0162689091438861
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,-2.64158415460441,0,0,0,0,0,0,2.03022789827263
ETH,0,0.0074388549817794,0,0,0.258406367506946,0.0242951468529965,0.0147446491803424,0,0.210085751985246,0.130837771776277,0.133266899815608,0,0,0.0380113475760798,0,0,0,0,0,0
XRP,0,-0.00311446950319478,0.119466599478142,0,0,0,0,0,0.0276230903389076,0.158800453450881,0.0979738173004808,0.162821357907176,0,0.0312326517707078,0,0,0,0,0,0
BCH,0,-0.000762904910901199,0.489636900413586,0,0,0.315794602907333,0.00767004226636902,0,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0.198928205063246,-0.00770271138816918,0.237610829395816,0,0.427269511919979,0,0,0,-0.00000000000000000346944695195361,0.0288270230486877,0,0,0,0,0,0,0.0521440194359117,0,0,0
TAGZ5,0,0,0,0,0,0,0,0,0,0,0.394472610452532,0,0,0,0,0,0,0,0,0
LTC,0,-0.00224468703747394,0.0189139832809379,0,0,0.155743818635355,0,0,0.0169485827067491,0.225346550109263,0.192247783244834,0.0303082913236064,0,0.0655714934237406,0,0,0,0,0,0
BNB,0,-0.00564132843593686,0.433155683278643,0,0,0.144330390372693,0,0,0,0,0,0.206908360440621,0.0115829936193115,0,0,0,0,0,0,0
EOS,0,0,0.40759514838151,0,0,0.122669455280034,0.016575983624128,0,0,0,0.00190763541436756,0.0792149574702603,0,0.182127928511862,0,0,0,0,0,0
XTZ,0,0,0.218546282412007,0,0,0.158898877474569,0,0,0.203961974979396,0,0,-0.00000000000000000346944695195361,0.331608384956861,0.173853595449127,0,0,0,0,0,0.0337864341754493
ADA,0,0,0,0,0,0,0,0,0.131788691101201,0.117809715797163,0.344386932056273,0,0,0.142205628619433,0.0142627461262303,0,0,0,0,0
LINK,0,-0.0112357583128103,0.0871711760947561,0,0.0512502029448908,0,-0.0183520230468572,0,0.00469569311411919,0,0.401696012502157,0,0,0.044041446541054,0,0,0,0,0,0.00867623244979327
XLM,0,0.00111947000757327,0,0.0800725905912423,0,0.107484687258628,0,0,0.0269478913100347,0.207760394149337,0,0.241568390799391,0.107822083693209,0,0.0681057728901519,0,0,0,0,0
CRO,0,0.00710134964941593,0,0,0,0,0,0,0,0,0.309504066876733,0.0944799707417089,0,0.203561433171993,0,0,0,0,0,-0.0370131795873446
BV010082.INDEX,0.20300400345008,-0.00297486744691479,0,-0.417226826555106,0,0,0,0,0,0,0,0,0.00247270841081296,0.0835258350875077,-0.106868447659371,0,0,0,0,0.061072807055508
CVIX.INDEX,0,0.0106207168089839,0,-0.65433400174126,0,-0.0599495420804496,-0.0735151388660134,0,0,0.310549005874555,0,0,-0.145242499987912,0,0.479665039530854,0,0,0,-1.54913290840645,-0.373460527793158
DXY.INDEX,0.0351725627533424,-0.000337889177343879,0,-0.143663711070371,0,-0.0204150263690917,0.00402256168541335,0,0,0,0.0449247745034359,0,0,0.0344353123391633,0.0233323116369595,0.015970415015141,0,0,0,0
SPX.INDEX,0,0.00898441754164716,0,0,-0.256262028305579,0,-0.0174805793518507,0,0,0,0,0,-0.012527026807984,0.109214395405848,0.166863674632722,0,-0.190631716063507,0,0,-0.167201261191293
VIX.INDEX,0.114675258892429,0.0307044225776092,0,-0.0557496855815875,0,0,-0.0407451702811502,0,0,0,0,0,-0.314310853134785,0.204243890485405,0,0,-0.302195381763127,0,-2.11779073747172,0
