,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,LINK,XLM,CRO,XMR,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.215429540390765,0,0,0.0847674279784069,0,0.230461503920355,0,0,-0.0000000000000000000542101086242752,0,0.138232326135805,0,0.0246385446331151,0,0,0,0,0,0.0156349688870112
ETH,0.0988567369299556,0,0,0.320495504023456,0.0331674819113582,0,0.130941606642788,0.234711662452484,0.0791613008500747,0.00655677248807403,0,0,0,0,0,0,0,0,0,0.0240946966178359
XRP,0,0.0313651619132909,0,0.0526183532298111,0,0.163107087701881,0,0.167752800431642,0.0762454017179716,0.0539442320923686,0.013507892476466,0.0800430307230087,0.0709642018488492,0,0,0,0,0,0,0
BCH,0.0290922362833494,0.422900786658283,0,0,0.283018121450363,0.0831068290879994,0,0.0604798591521129,-0.00000000000000000173472347597681,0.0173454748229336,0,0,0,0,0,0,0,0,0,0
BSV,0.168061890463373,0.121117168812491,0,0.541969801981057,0,0,0.0324746398656595,0,0,0,0,0.0114030096322017,0,0.0714709768339457,0,0,0,0,0,0
LTC,0,0.0417379830833334,0,0.0521095468655221,0.134138899828309,0,0.0566841027995475,0.364159888268379,0.0198354844995274,0.0818024607722072,0,0.0273572069653779,0,0.0272337878205948,0,0,0,0,0,0
BNB,0.163239313320534,0.20798907976013,0,0.145784785563562,0,0,0,0,0,0.172628119336344,0.0888252560281726,0,0.112372470890792,0.0693774270982583,0,0,0,0,0,0
EOS,0,0.427978852513227,0,0.0792228092689712,0,0.051006202476479,0,0,0,0.0383942341213181,0,0.166172044293839,0,0.0913355431168346,0,0,0,0,0,0
XTZ,0,0.258497229817654,0,0,0.0875078197772731,0,0.230090705785394,0,0,0,0.344415340997986,0.195689333697534,0.00200736595291904,0,0,0,0,0,-0.18486045514778,0
ADA,0,0.306266525745831,0,0,0,0,0,0,0.17118574996219,0,0,0.24282166248507,0.00000000000000000346944695195361,0.221217699130135,0,0,0,0,0,0
LINK,0,0.100483636046812,0.0731661383431841,0,0,0,0,0.0413695158036348,0.349351109608664,0.0763987788089287,0,0,0,0,0,0,0,0,0,0.00933024033331315
XLM,0,0,0,0,0.0641759871164945,0,0.0234279587610946,0.357070839872111,0.00000000000000000346944695195361,0.242381819865404,0.0612229619859795,0,0.0542561293339218,0,0,0,0,0,0,-0.0236344669248853
CRO,0.148155401287114,0,0.234107543261936,0,0,0,0,0,0.0644835450746107,0.104697276141558,0,0.174483050351051,0,0.0516530665922611,0,-0.16435489064207,0.330336182289572,0,0.18826626071012,-0.12906267401168
XMR,0,0.117324173960362,0.184294991699959,0,0.0212103303705991,0,0.284496009491304,0.221180258033516,0,0.0772169286123119,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0,0.0148857215593567
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0.183998717326625,0,0,0,0,0,0.0519128550939691,-0.431733921295931,0.12633396703617,0,0,0,0,0,-0.101951827731358,0,-0.0624587108554627,0,-0.0581025164067304,0.028893028688463
CVIX.INDEX,0,0,-0.297134761745172,0,-0.170190024805838,0,0,0,0.00427928342817185,0,-0.0747107977288021,0.0844557999441638,0.5281270084449,0,0,-0.294681753834958,0,0,0,-0.0680375288877671
DXY.INDEX,0.0490448286070224,0,-0.147757768726076,0,-0.0187928399147329,0,-0.00000000000000000173472347597681,0,0.0499591211126625,0,0,0.0326269506455747,0,0.00774990531546711,0,0,0.0102674579488389,0,-0.114142098589592,-0.0255923346027124
SPX.INDEX,0,-0.00115048192637594,0,-0.484213310291988,0.185586358362969,0.228475701950373,0,0,0,0.0737312168049201,0,0,0.177743173297964,-0.189057386534478,0,0,-0.0573717720003555,0,0,-0.172147531857462
VIX.INDEX,0.266656213454338,0,-0.294991356538707,-0.297065464608743,0,0.911839905007789,-0.467274379633875,0,-0.36889065807033,0.0852521577816047,-0.00000000000000000173472347597681,0.236821308747481,0,0,0,0,-0.00000000000000000693889390390723,0,-2.74665086557456,0
