,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,ADA,CRO,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.225649855398153,0,0,0,0,0.406988827939673,0,0,0,0,0,0,0,0.139318567747287,0,0,0,0,0.0174563140032946
ETH,0.110781244925018,0,0,0.0560302150685687,0.214248435870733,0.127218045119023,0.167697541321457,0.0545059288176356,0.0132758192745787,0,0.0763106063529602,0,0.0553394241571046,0,0.144521859972971,0,0,0,0,0
XRP,0,0,0,0,0,0.241429110813039,0,0.354204359141186,0.0401272578536189,0,0,0,0.0673101588261981,0,0,0,0,0,0,0
BCH,0,0.234229447338843,0,0,0.422434382514395,0,0,0.328722028096584,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0.087473932094523,0.215013343371854,0,0.455379801690126,0,0,0,0.159519539149697,0,0,0,0,0,0,0,0,0,0,0,-0.00806304122716067
LTC,0.10487511592509,0.353440114767614,0,0.179834549886658,0,0,0,0.181576943452782,0.0131341537621297,0,0,0,0,0,0,0,0,0,0,0
BNB,0.162460517637457,0.250684475396853,0,0.0436375199660974,0.172731871812814,0,0,0.0960089900532835,0,0,0,0,0.0797819280493989,0,0,0,0,0,0,0.0149081477018841
EOS,0,0.103474296887577,0,0.168143727375799,0,0.444002391047338,0,0,0.0606631929137638,0,0,0,0.0498497477192302,0,0.129882804188897,0,0,0,0,0
ADA,0,0.696038674463428,0,0,0,0,0,0,0,0,0.111367936373728,0.0147490432209019,0.306046958713513,0,0,0,0,0,0,0
CRO,0,0,0.266495883847776,0,0,0,0,0,0,0,0.384714506742114,0.0203795495797002,0.0971004754533817,0,0,0,0,0,0,0
XTZ,0.117615708593354,0,0,0,0,0.238527726525657,0,0,-0.118719767407488,0.0773641141927003,0,0.355657121124946,0.247370253199985,0,0.00257695524952223,0,0,0,0,0.0240453629112205
LINK,0,0,0,0,0,0,0,0.14757683422074,0.0999286365540223,0.131981653399589,0.426793831167683,0,0.057329970208828,0,0,0,-0.143513685964629,0,0,0.0533213167161945
XLM,0,0.0694964381173065,0,0.204847029272261,0,0.072692938074236,0,0,0.283532315143979,0.0542520615146997,0,0.123786744824942,0,0,0,0,0,0,0,0
LEO,-0.212197577412212,0,0,0,0,0.130763504866515,0,0,0,-0.0321113247444255,0.13908644540797,0,0.0659300452318839,0,0.0425466632468927,0.141236825831442,-0.109451795073065,0,0,0
XMR,0,0.218498813865802,0,0,0,0.282765514351606,0,0.0554099712809978,0.00586711599885512,0.0277301772586986,0.178523091327062,0,0.0371153490308856,0,0,0,0,0,0,0.0267790701999552
BV010082.INDEX,-0.158631269395537,0,0,0,0,0,0,-0.071570000002603,0,0,0.0787635902956246,0,-0.0344666520105594,0,0.190304510925699,0,-0.0365134555629145,0,0.0141729889120926,0
CVIX.INDEX,-0.0885231695308338,0,-0.371424987087443,0,-0.109528049068078,0,0,0,-0.00087432720666937,0.441516687780408,0,-0.129560691666099,0,-0.0653302857731754,0.251434414560588,0,0,0,-1.30739641078974,-0.300962958235604
DXY.INDEX,0.0539292075438045,-0.0223763647062124,0.0497071022329818,0.0351468921741093,-0.0801477708423652,-0.0563698259932413,-0.00503540000108599,-0.0449591926177741,0.0318595071998889,0.0454667349413234,-0.00391023615916661,0,-0.0000000000000000000542101086242752,-0.0482352447881159,0,0,0.00799057541377904,0,-0.265502622858995,-0.0399422073905377
SPX.INDEX,0,-0.00000000000000000693889390390723,0,-0.0430916801682166,0,0,0,-0.00945876662633653,0.0678303423467156,0.00569002445950397,0,-0.0622249862941671,0,0,0,0,-0.0763319262586497,0,0,-0.162142494374178
VIX.INDEX,0,0,-0.131772643721161,-0.0717186154032119,0,0,0,0.0333036474407781,0.147412971937906,0,-0.752614291300165,-0.0354860034083609,0.395136830649313,-0.131716959484574,0,0,-0.472555540907975,0,-4.22522337190703,0
