,BTC,ETH,XRP,BCH,BSV,LTC,BNB,CRO,EOS,ADA,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.216494147213012,0,0,0,0,0.410459913556244,0,0,0,0,0,0,0,0.153792933021334,0,0,0,0,0.0194540076504027
ETH,0.11510019163118,0,0,0.285465455916119,0.0168617354841797,0.130097173647612,0.229910451080573,0,0.0183249912159522,0.01012138236946,0.0116245921721006,0,0.0434470676035229,0,0.0928840023905997,0,0,0,0,0
XRP,0,0,0,0,0,0.249328464503867,0,0,0.353375249105916,0.0391824713461595,0,0,0.0697764199911027,0,0,0,0,0,0,0
BCH,0,0.193946548335978,0,0,0.422345413373059,0,0,0.00839548464087845,0.36049254815877,0,0,0,0,-0.0498648198688973,0,0,0,0,0,0
BSV,0.198803625071967,0.268716139602742,0,0.383559957690576,0,0.0809411742620601,0,-0.0758646161746936,0.136025750022049,-0.0952901236797277,0,0,0,0,0,0,0,0,0,-0.0229251797411264
LTC,0.0369070319474256,0.48358994967446,0,0.104247009145553,0,0,0,0.0146895129412567,0.192211809180914,0,0,0,0,0,0,0,0,0,0,0
BNB,0.150749272042562,0.325041040344657,0,0.0312541231112164,0.096578858558371,0.0617749030514291,0,0.00368171958417837,0,0,0.0735770262910801,0,0.0598480247313151,0,0,0,0,0,0,0.0225360277738662
CRO,0,0,0.191038833087559,0,0,0,0,0,0,0,0.565148528255557,0,0.0561752416052306,0,0,0,0.0434054764618625,0,0,0
EOS,0,0.0873615453584214,0,0.0382380044629795,0,0.47725897378327,0,0,0,0.113566801317946,0,0,0.0327117155515529,0,0.128839111939713,0,0,0,0,0
ADA,0,0.691607893391034,0,0,0,0,0,0.00517693898558808,0,0,0.117143910961349,0,0.309027734948419,0,0,0,0,0,0,0
XTZ,0.20441516413438,0,0,0.143707348422123,0,0,0,0.118949990922024,0.00000000000000000346944695195361,0,0,0.520514145502215,0,0,0,0,0,0,0,0.0140095968753576
LINK,0.156197737971043,0,0,0,0,0,0,0,0.141413334177974,0,0.50068136631837,0,0.169766537254076,0,0,0,0,0,0,0
XLM,0,0,0,0.305054619490736,0,0.095567480586073,0,0,0,0.282371148586404,0.143584116198747,0,0,0,0,0,0,0,0,0
LEO,-0.330494283059165,0.054378404204892,0,0,0,0.186375703195983,0.148297922863063,0,0,-0.00000000000000000173472347597681,0,0,0.022943121252083,0,0,0.269125410953713,-0.136507690220358,0,0,0.00740007006403545
XMR,0.025000495690286,0.18131793737389,0,0,0,0.340189018961412,0,0.015948198554012,0.0569570650654967,0,0.163654395502958,0,0.0474894756800729,0,0,0,0,0,0,0.0340305406048575
BV010082.INDEX,-0.104073420788823,0,0,0,0,0,0.0615455615740028,0,-0.136949993514501,0,0,0.0640256597403238,-0.039348366763872,0,0.17343618149207,0,-0.0211346495176157,0,0.298526710596755,0.0386615764593796
CVIX.INDEX,0,0,0,0,-0.620535424471845,0,0,0.334316063255764,0.30925727454588,-0.300421057316053,0,0,0.155020752617499,0,0.206590443908037,0,0,0,-0.112074288057664,-0.250105081128374
DXY.INDEX,0,0,0.0560587261455565,0,-0.0301927542308197,0,-0.0199234052870507,0.0676761594617277,-0.0643705992897739,0.0130093484813457,-0.0261310806164235,0,0.00991514654118907,-0.0301282541790333,0,0,0.00410639993121245,0,-0.170384541159265,-0.0249888487241909
SPX.INDEX,0,0,0,0,-0.0560454903379914,0,0,0,0,0.0541093687340855,0,-0.0326593180466424,0,0,0,0,-0.0491160285684406,0,0,-0.174048278316329
VIX.INDEX,0,0,0,0,0,0,0,0,0.318481300003013,0.156067537182184,0,-0.313452249164269,0,-0.0617826074203181,0,0,-0.527596216551278,0,-3.7162259401325,0
