,BTC,ETH,XRP,BCH,BSV,ADA,LTC,BNB,CRO,EOS,LINK,XTZ,XLM,LEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159953972486544,0,0,0.0474877616850675,0,0,0.362212524961673,0,0,0,0,0,0,0.124324356237961,0,0,0,0,0.0252229116783003
ETH,0.137821665236685,0,0,0.259086851420385,0.0706981432782578,0,0.131154268714864,0.269055654863518,0,0,0,0,0.0624809486848311,0,0.00767270586932201,0,0,0,0,0.0135755006202608
XRP,0,0,0,0.0381223452330391,0,0,0.211967291169067,0,0,0.153866845191935,0,0.0294541376064283,0.00937980895512783,0,0.171076370143176,0,0,0,0,0
BCH,0,0,0,0,0.199239584638278,0.0604689899461342,0.386777922980999,0,0,0.251669506674116,0,0.0515488651375211,0,0,0.0194770758203355,0,0,0,0,-0.00212349844496214
BSV,0.0188538647977304,0.226259892555297,0,0.408506063111957,0,-0.0411297675676492,0.129439868992215,0,-0.0123938162724807,0,0,0,0,0,0.126806202796137,0,0,0,0,-0.000811014910695811
ADA,0,0.49222904409275,0,0,0,0,0,0,0.0821364053215814,0,0,0.114592706852729,0.365392055058751,0,0.248923423100614,0,0,0,0,0
LTC,0,0.265745139520771,0,0.132198548834059,0.0821401310478591,0.0526810927157377,0,0,0,0.130852858260926,0,0,0,0,0.0705295225530228,0,0,0,0,0
BNB,0.155898445840071,0.44118476009874,0,0,0,0,0,0,0,0,0,0.100382559699691,0.0660207310919592,0,0.00153832644862019,0,0,0,0,0.00245064083329079
CRO,-0.625468681907417,0,0.687923236914956,0,0.00239010273843846,-0.111309292506608,0,0.349608463225227,0,0,-0.373205870253216,0.375993990652506,-0.158190078778786,0,0.666735210559076,0,-0.300568600690835,0,0,0
EOS,0,0.0696131187610486,0,0.144278137904466,0.102876750080449,0.0059549599795758,0.236035463219313,0,0,0,0.0616727505887202,0,0,0,0.270790625792564,0,0,0,0,0
LINK,0,0,0.229694480798834,0,0,0.0437756082191316,0,0,0,0.0888289543652542,0,0.346189929008786,0.135396233654265,0,0.19632445204149,0,-0.0162565110063941,0,0,0.0365198056149437
XTZ,0.239286153857438,0,0,0.151873422922414,0,0,0,0.0000000000000000277555756156289,0.0751297184327639,0,0.433770175939779,0,0.0124195024523906,0,0,0,0,0,0,0
XLM,0,0,0,0.227246844822789,0.0265426395612635,0.241302228316657,0.301584873762231,0,0,0,0.0855719462335228,0,0,0,0,0,0,0,0,-0.0106089936044871
LEO,-0.253288737790254,0,0,0,0,0,0,0,0,0,0.11923237038119,0.226978660637213,0,0,0,0,-0.0732131770539912,0,0,0.0276652742607006
TRX,0,0,0,0.293061170495882,0,0,0.233746313312866,0,0.0389847087812799,0.473310483923207,0,0,0.062455522024552,0,0,0,0,0,0,-0.0468200010770672
BV010082.INDEX,0.0431598359682821,0,0,0,-0.000000000000000000216840434497101,-0.0236355149896382,0,0,0,0,0.0110058930097692,0.0306181125668831,0,0,0.0293594137504534,0,-0.0136365755321281,0,0.145061445452099,0.0000000000000000000542101086242752
CVIX.INDEX,0,0,-0.317183144342851,0,-0.194564153862273,-0.266735973189354,-0.111973989309658,0.690574607822205,0.2536226445268,0,0,0,0.130905325628066,-0.16650336133678,0,0,0,0,0,-0.170129097103908
DXY.INDEX,0,-0.0684165115259087,0.0462010060092215,0,0,0.0390275372780226,0,-0.0336078031684219,0.0225189449534198,-0.0492005956815247,0,0,0,0,0.0534932090652277,0,0.0223432306435867,0,-0.164330864771276,0
SPX.INDEX,0,0,0,0,0,0.00966638110127263,0,0,0.03899908095522,0,-0.00872635108493964,0,0.0340833798001274,0,-0.0152003211175126,0,0,0,0,-0.149086107548519
VIX.INDEX,0,0,0,0,0,0.338354112907399,0,0.570364308330748,0,0.235121090665418,-0.40166408242784,0,0,-0.0462782199479378,-0.676191947778853,0.098328691826393,-0.314118273229585,0,-4.09352068562186,0
