,BTC,ETH,XRP,BCH,BSV,LTC,ADA,CRO,BNB,LINK,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.27935136642619,0.0117726232707575,0,0,0.187504076151194,0,0,0,0.0406198961230893,0,0.00856511656519526,0.0802201407491168,0,0.0823029055451375,0,0,0
ETH,0.119793206237239,0,0,0,0,0,0.00120666042431224,0.148034721369548,0.0561904386153392,0.10235253290021,0,0,0,0,0.160873719673794,0,0.0142826394841845,0,0,0
XRP,0,0,0,0,0.173987749625391,0.11533856213051,0.0687432595259058,0,0,0.00149719032660788,0.133728886746723,0,0,0,0.149973405196418,0,0,0,0,0
BCH,0,0,0,0,0.23078707690095,0.215443111046595,0.0194337058471363,0.0110315379034448,0,0,0.37001888179111,0,-0.00000000000000000173472347597681,0,0,0,0,0,0,0
BSV,0,0.0635676060834001,0,0.530132181766433,0,0.163965905864386,-0.0233705546962361,0,0,0,0.0550297726253291,0,0,0.122619859713203,0.131875394508025,0,0.0487773645645197,0,0,-0.0140270072472874
LTC,0.186743650586958,0.0823686240804867,0,0.221102757174925,0.0667317525422685,0,0.0434381044073055,0,0.0464133259135628,0,0.0872641721061455,0.0864793554686082,-0.0335785322566395,0,0.0656505228560905,0,0,0,0,0
ADA,-0.230897197963935,0.455144570755553,-0.14996698090378,0,0,0,0,0,0,0.20041111523359,0.0828866937001284,0.173379522591798,0.0931363538714456,0,0.214665397198343,0,-0.0546152467724145,0,0,0.0403936764062218
CRO,0.670045118793871,0.0994955540895327,0,0,0,0,0,0,0.0171432078045802,0,0,0,0,0,0.332721491996291,0,0.0799156785864519,0,0,-0.0109607639745266
BNB,0,0.111420019336869,0.0988324028380904,0.0867257318960103,0,0.0828380758769588,0.0869346779433606,0.00754651421624671,0,0,0.0278497251966356,0,0,0,0.103175247615954,0,0,0,0,0
LINK,-0.0596943355313964,-0.126509067188628,0.502434747984628,0,0,-0.0618741238736631,0.280141119975282,0.266121340523094,0,0,0,0.416612054290079,0.192667793053851,-0.00285037106999279,-0.418886698908158,0,0,0,0,0.0785220289049208
EOS,0,0,0,0.486103381184186,0.147455124726581,0.123313347823347,0.087017491075129,0.0282987730206883,0,0,0,0.0114150325698997,0,0,0.0608544240997156,0,0.0310810009706665,0,0,0
XTZ,0,0,-0.060904988593244,0,0,-0.0564636892020763,0.101836847832488,0.142442201944166,0.135881430843829,0.350089402680172,-0.00000000000000000346944695195361,0,0.161154577054691,0.0501853169110549,0,0,0,0,0,0
XLM,0,0,0.256689953661116,0,0,0,0.239488618055299,0,0,0.0781590798392093,0,0.252570477073053,0,0,0.012062865148545,0,0,0,0,0.0266573139528176
XMR,0,0,0,0,0,0.179172302138589,0,0.115872881958456,0.332232159385367,0.0298683079412351,0,0.0933367522045551,0,0,0.0259500360183924,0,-0.0174386892915168,0,0,0
TRX,0,0,0,0,0.0630649946224109,0,0.106969686372652,0.0445240777435282,0,0.00479519996956065,0.491331695957363,0,0.0822218531364034,0.0764025351360562,0,0,0,0,0,0
BV010082.INDEX,0,-0.0899860905375126,-0.0304740489491375,0.0648617334952657,-0.000000000000000000867361737988404,0.0421162657086055,0.00463208618585837,0.0656508918234436,0,0.0328650260895991,-0.0338592881019581,-0.000366727497650509,0,0,0,0,-0.00116266956959622,0,0.0916012885565665,0
CVIX.INDEX,0,0.55636892214512,0,-0.881852517873848,0.220784296261241,0,-0.308044989017412,0.511512959406621,0,0.126108955744949,0,0,0.226204399789316,0,0,0,0,0,0,-0.0678188130599162
DXY.INDEX,0.0661859978285908,0,0.0243578401576061,-0.0191130510429922,0,0,0.00641023180394268,-0.00000000000000000010842021724855,-0.015035422628561,-0.0159251480609542,-0.0209383470288442,0.0207779816653745,0.0121605129074582,-0.0516341488524964,0.0141316515402739,0,0.00228733870974161,0,0,0.00751425552333535
SPX.INDEX,0,0,-0.0239404650953264,0,0,0,-0.010067618047534,0.0999845044113129,0.0437663983964177,-0.0271012631050546,0,0.0685142067318612,0.037158416790757,0,-0.145617112423111,0,0.0148133699697779,0,0,-0.139341396961081
VIX.INDEX,0.0037942936747807,0.0262102643061034,0,0,0,0,0,0.431569915864322,0.659551360481977,0,0,0,0,-0.222935750563396,-0.723171333971411,0,-0.154028849228158,0,-4.26089896251744,0
