,BTC,ETH,XRP,BCH,LINK,LTC,BSV,CRO,BNB,ADA,EOS,XTZ,XLM,ATOM,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.113204523751496,0,0,0,0,0.100668619520724,0.0138244043382406,0,0,0.0524922774876254,0.0241663598189369,0,0,0.0162470150458681,0,0,0,0,0.0136949585927102
ETH,0,0,0,0,0,0,0.131828674025596,0,0,0,0,0.0903733091054923,0,0.0127297107984717,0.0919393703463264,0,0,0,0,0
XRP,0,0.0682636406996149,0,0.146738928382271,-0.00597720868130421,0.0982586387170578,0.181050792828919,0,0,0,-3.46944695195361e-18,0,0.0428006913127647,0,0.0662223683909246,0,0,0,0,0
BCH,0,0,0,0,0,0.167934271712723,0.245016276277539,0,0,0,0.124985449491135,0.00713455367345583,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.290011179124715,0,0.290795716139407,0,0,0,0,0,0,0,0
LTC,0,0,0,0.127250793015659,0,0,0.110739713280231,0,0,0.00828239740151672,0.310848255492877,0.0329572466130269,0,0.0382033429832448,0,0,0,0,0,0
BSV,0,0,0,0.0794883674217099,0,0.426432239206601,0,0,0,0,0.158308565665755,0,0,0,0,0,0,0,0,0
CRO,0.322122866717517,0,0,0,-0.0204030684630355,0,0.174523982466862,0,0,0,8.67361737988404e-19,0,0,0.0582444110770137,0.00992684974590126,0,0.105106698887058,0,0,0
BNB,0,0.169831739027607,0,0,0,0.151763513817353,0,0,0,0.0624790671863451,0,0.0610000590062972,0,0,0.0240927693180479,0,0,0,0,0
ADA,0,0.208907042883147,0,0.0753791245488615,0.156140595244492,0,0,0,0,0,0,0.0631160152572994,0.00222513368583622,0,0.0598327383842059,0,0,0,0,0
EOS,0,0,0,0.339511700267421,0,0.00369590795213964,0.11558537155035,0,0,0.0170788458681301,0,0.0309776352364513,0.0682637179402336,0.0110763094001997,0.141659493261071,0,0,0,0,0
XTZ,0,0,0,0,0.389881909021189,0,0,0,0,0.0674852860964119,0,0,3.46944695195361e-18,0.126395874666047,0.147307401631995,0,0,0,0,0
XLM,0,0,0,0,0.0145708222584808,0,0,0,0,0.16275947457053,0,0.134233314246574,0,0.0561888373503405,0.0890997494564608,0,0,0,0,0
ATOM,0,0,0,0,0.141655774348193,0,-0.0350171269399056,0,0,0.0176670113488337,0,0.187404102096975,0.453483551939701,0,0,0,0,0,0,0
TRX,0,0.0306294079864461,0,0,0,0.129684004664772,0,0,0,0.0749673908061142,0.320861070169421,0.13607900427486,0.00485947156828109,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0130655990621124,0.0205725164492327,0,0,0,0,0,-0.0615657615834034,0.00505805273415968,-0.0382632904162395,0.00922506518839902,0.0402752679603524,0,-0.0157760218875129,0,0,-0.0272874800220158
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042506991813359,0,0,0,0,-0.0770051392328264
DXY.INDEX,0,0,0,-0.0340485950635544,0.00299497907385237,0,0,0.0342972896137853,0,-0.00181488128112781,0,0.0139814166940841,0.00642095221501158,0,0.00282620421561805,0,0.00688355356560834,0,0,0
SPX.INDEX,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0065591500923259,0,0,-0.142219324838824
VIX.INDEX,0,-0.00416539058528406,0,0,0,0,0,0,0.110394164146505,-0.0987249915488605,0,0.0914165908718684,-0.0880452515442965,0,-0.0465051591833244,0,0,0,-3.35829265460134,0
