,BTC,ETH,XRP,LINK,BCH,LTC,BSV,CRO,BNB,EOS,ADA,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0711500088497831,0,0.00267972324979474,0,0,0.114456533309465,0,0,0.0397598342670797,0,0.00999149174515447,0,0.0435505714580835,0,0,0,0,0,0
ETH,0,0,0,0.053504147421855,0,0,0.211351224017687,0,0.0892556471601747,0,0,0.0463048603235585,0,0.0516954303674401,0,0,0,0,0,0
XRP,0,0.0940052534457243,0,0,0.168019067615751,0.0716730491634118,0.165345160737679,0,0,0,0,0,0.0530666977641504,0.0757148189964637,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.290011179124715,0.290795716139406,0,0,0,0,0,0,0,0
BCH,0,0,0,0.0129097842221918,0,0.230103253488024,0.21752091700101,0,0,0.100209121534097,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0245769876854013,0.106812262380556,0,0.0789696062814448,0,0,0.339991618441172,0.0510450612819742,0.0329676587371015,0,0.0310081592042374,0.00384939611307674,0,0,0,0,0
BSV,0,0,0,0,0.0300721925657902,0.416797247127385,0,0,0,0.175103751728375,0,0,0,0,0.10731446497798,0,0,0,0,0
CRO,0,0,0,0,0,0,0.161148536328817,0,0.0389438615938067,0.0415212819592391,0,0.010685879828334,0.0343439366389514,0.0637256291183512,0,0,0.117734199544473,0,0,0
BNB,0,0.179777965383817,0,0.0119643333600975,0,0.160014845413108,0,0,0,0,0.065462722397062,0.035255726010867,0,0.00812743487571931,0,0,0,0,0,0
EOS,0,0,0,0.00862138594472494,0.363761209595424,0,0.102799958498842,0,0,0,0.0201061796002776,0.0117077471189786,0.0940601356410212,0.132064350436127,0,0,0,0,0,0
ADA,0,0.0585559966423363,0,0.152717588415367,0,0.0709682316303498,0,0,0,0,0,0.0764783722828547,0,0.0980205839275235,0,0,0,0,0,0
XTZ,0,0,0,0.331720940451688,0,0,0,0,0,0,0.0737782818603246,0,0.167238263794992,0.100465722187453,0.0796812654751922,0,0,0,0,0
XLM,0,0,0,0.0546851838511733,0,0,0,0,0,0,0.19823425576329,0.137811161381928,0,0.141422900426618,0,0,0,0,0,0
TRX,0,0,0.0258869846934463,0,0,0.0789446273411948,0.129675564021567,0,0,0.205890487671201,0.10778757693272,0.0953819041806282,0.044755672869852,0,0.0417638634624577,0,0,0,0,0
XMR,0,0.0148828329698928,0,0.0141443878890397,0,0.238357716571165,0,0,0.361325689429428,0,0.0117439686885047,0.0531937301867638,0,0.0240526251391783,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0110489305901878,0,0,0,0,0,0,0,0,-0.0277296880892392,0,0,0,-0.0276309054390086,0,0,0
CVIX.INDEX,0,0,0.0814059992610645,0,0,0,0,0.0489508155822959,0,0,0,0,0,0.0273797698676194,0,0,0,0,0,-0.0742248562525013
DXY.INDEX,0,0,0,1.0842021724855e-19,-0.0299908934595003,0,0,0.0388525879642601,0,0,-0.000376835965169356,0.0136267983245011,0.00326481814493807,0.00136235148199191,-0.0113435732588755,0,0.00502245917367566,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111522517187164,0,0,-0.123206113017945
VIX.INDEX,0,0,0,0,0,0,0,0,0.0940462627581763,0,-0.0852226508627727,0.0430324344585463,-0.12946687791042,-0.0359841634214016,0,0,0,0,-3.31443625116097,0
