,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0410881758001468,0,0,0.0540505383248901,0,0,0,0,0.176778309636547,0,0.0399498696895892,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.0000000000000000000271050543121376,0,0,0.0590059526882132,0.0852317931688568,0.0174513954515968,0,0.0434024950941213,0,0.377002119649389,0,0.0915575796792198,0,0,0,0,0,0,0
XRP,0,0,0.0390524126704379,0,0,0.117853066288506,0,0,0,0,0.0675189923245748,0,0.127159472952938,0.00498157522426167,0,0,0,0,0,0
BCH,0,0,0.129297094591442,0,0,0.305628843262247,0.0324541364237437,0,0,0.258489364565316,0.0298431135528398,0,0.0454862787355189,0,0,0,0,0,0,0
BSV,0,-0.0030082134228837,0.270868701755801,0,0.330743429875334,0,0,0,0.08170531122063,0,0.0119491835927917,0,0,0.0364304129574686,0,0,0,0,0,0
TAGZ5,0,0.0110537474972523,0.101952352640778,0,0.336072672647162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00201549825782466,0,0,0,0.00814884526550372,0,0,0,0,0.27759943289632,0,0.101871162505968,0.0327436205371095,0,0,0,0,0,0
BNB,0,0,0.417734599738974,0,0,0,0,0,0,0,0.128755721571648,0,0.0613697095996884,0,0,0,0,0,0,0
EOS,0,-0.000634894689919668,0.40433071525576,0,0,0.0727459253597761,0.0076884913937635,0,0,0,0.089346117268354,0,0.0971635489320069,0,0,0,0,0,0,0
XTZ,0,0.00334517339971143,0.312454489235551,0,0,0,0,0,0,0,0,0,0,0.472960200674803,0,0,0,0,0,0
XLM,0,0.00211491302855925,0,0,0,0.057790368574409,0,0,0,0,0.293473927275462,0,0.242362890457157,0,0,0,0,0,0,0
ADA,0,0,0.208617680921439,0,0.121757466757262,0,0,0,0.0167330796448997,0,0.235149940024886,0.162609657193335,0,0,0,0,0,0,0,0
LINK,0,0.00160074747929878,0,0,0,0,0,0,0,0,0.627635802230346,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00251200944224908,0,0,0,-0.0182331527115849,0,0,0,0,0,0,0,0,0,0,-0.0999621775111461,0,0,0
CVIX.INDEX,0,-0.000000244540730123197,0,0,0,-0.0000105362797681727,-0.00000274612184299181,0,0,0,0.0000146174332183045,0,0,0,0,-0.628696010323677,0,0,-0.21803806918371,0.154822458316298
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123485186117279,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231184544500974,0,0,-0.176236846011887
VIX.INDEX,0,0.0309995221945778,0,0,0,-0.000000000000000000867361737988404,0,0,0,0,-0.065210581586934,0,0,0,0,0,0.0912524473086585,0,-1.3761424656963,0
