,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.120649682854414,0,0,0.0195179462326226,-0.0000000000000000000271050543121376,0,0,0,0.108383046353158,0,0,0.0949940386311982,0,0,0,0,0,0.0107541302507427
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0.000267415278254856,0,0,0.0177343727730751,0.0262048922399923,0.0173336877665619,0,0.0223927560696533,0.0888105005927693,0.347930508167825,0,0,0.159563080258245,0,0,0,0,0,0
XRP,0,0.000996239218106184,0.193578789698156,0,0,0.0749914401871474,0,0,0,0,0.00799178185354819,0.0475250898963928,0,0.0791424693822658,0.0244304253682717,0,0,0,0,0.00321533148577218
BCH,0,-0.00134065883434958,0.235058209853817,0,0,0.238374264545649,0.0558105307371321,0.0547126666014771,0,0,0.00917119575964093,0,0,0.111288922477184,0,0,0,0,0,0.0342075610519073
BSV,0,-0.00225915693361638,0.347909742670072,0,0.306827872234881,0,0.0100503138223616,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.00448674048058015,0.283029272528829,0,0.284800220895558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00247977611171947,0,0,0,0,0,0,0,0.140057920113617,0.275676807177136,0,0,0.0297788481725995,0,0,0,0,0,0
BNB,0,-0.000238394280792295,0.376761289481677,0,0,0,0,0,0,0,0.0312680681369051,0,0,0.0955950534982358,0,0,0,0,0,0
EOS,0,-0.000147889279174958,0.297986048382436,0,0,0.0854863005895212,0.000563996604855954,0.0147240045300605,0,0,0.0598272504434571,0,0,0.0706499748224954,0.0744560276903165,0,0,0,0,0
XTZ,0,0.00365618034878293,0.277733273480169,0,0,0,0.0251638161037004,0,0,0,0,0,0.474983688153898,0,0,0,0,0,0,0
XLM,0,0.0020740131315827,0,0,0,0,0,0,0,0,0.0874286340057986,0,0,0.572146205829834,0.00409356347695007,0,0,0,0,0
LINK,0,0,0.0696176824912954,0,0,0,0,0,0,0,0.616573271808416,0,0,0,0,0,0,0,0,0
ADA,0,-0.000321679468946052,0.16116155505669,0,0.114021537576706,0,0,0,0.00972221233289472,0,0.260464457173192,0.206712684313253,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.00139508505587565,0.030666360544387,0,0.211351928399072,0.358674509644148,0.0457704425077493,0,0,0.0339133264407264,0,0,0,0,0,0
BV010082.INDEX,0,-0.0032811533987315,0,0,0,-0.037401387084814,0,0,0,0,0,0,0,0,0,0,-0.0721037207099579,0,0,-0.0134990244863728
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000000621000238006355,0,0,0,0,-0.0000000861925674531546,0,0,0,0,0,0,0,0,0,0.0227616360709415,0,0,-0.0104572639309194
SPX.INDEX,0,0,0,0,0,0,-0.000000307449718864993,0,0,0,0,0,0,0,0,0,-0.0145710995239644,0,0,-0.140042977919133
VIX.INDEX,0,0.0277283779223339,0,0,0,-0.0585242735120327,0,0,0,0,0,0,0,0,0,0,0,0,-1.38533499561724,0
