,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00296036066951062,0.219266708041543,0,0,0.0925317412810007,0,0,0,0,0,0,0.0886133814861044,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0.0077492530735612,-0.000660294885046255,0,0,0.0550045578360278,0.0961574583046998,0.0067984788872623,0,0.18932152748898,0.135484377922866,0.20546179001085,0,0,0,0.0120578001496325,0,0,0,0,0
XRP,0,0,0.132183395908345,0,0,0.139017740745562,0,0,0,0,0.00381448615707935,0.0551382567587446,0.0696580096970629,0,0.046101732451582,0,0,0,0,0
BCH,0,-0.00269789034801642,0.187976003440048,0,0,0.367456938997754,0,0,0,0.159787704578154,0,0,0.0953841456215401,0,0,0,0,0,0,0.0193382401130535
BSV,0,-0.00384763576416154,0.313919849187624,0,0.260561156519723,0,0,0,0.0389533787013733,0,0.0319377853237392,0,0,0.0525486185672387,0,0,0,0,0,0
TAGZ5,0,0.00379710708658748,0.38393995580144,0,0.19519957197909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00090293288227085,0,0,0,0.0418657514317292,0,0,0,0,0.177997739911159,0,0.0365242516255447,0,0.0233740551885086,0,0,0,0,0
BNB,0,-0.00186041216544992,0.416851159274708,0,0,0.0102955810436879,0,0,0,0,0.0366966506594251,0.0394967161953255,0.0566583448094579,0,0.00574843398983474,0,0,0,0,0
EOS,0,-0.000420584949522405,0.158380896351465,0,0,0.111631376612623,0,0,0,0,0.0735656181647898,0,0.0558243612784817,0,0.143125221648444,0,0,0,0,0
XTZ,0,0.00307607192932673,0.280740715017726,0,0,0,0,0,0,0,0,0,0,0.473711722821351,0,0,0,0,0,0
XLM,0,0.00128329809653121,0,0,0,0,0,0,0,0,0.13629080884585,0,0.408541860030656,0,0.0454650597248241,0,0,0,0,0
ADA,0,0,0.125542585906169,0,0.181363056481736,0,0,0,0.0106859797720253,0,0.223203059576496,0.201489612597085,0,0,0,0,0,0,0,0
LINK,0,0,0.0530436406607123,0,0,0,0,0,0,0,0.639688255469382,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0267886037244407,0.0382767052139187,0,0.305908010210916,0.170822252400011,0.0630951868923226,0,0.0929884989608552,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00235575329194801,0,0,-0.0282671939550944,-0.0024645812554624,0,0,0,0,0,0,0,0,0,0,-0.100109023182062,0,0,-0.0175158130700894
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000000205399583888273,0,0,0,0,-0.0000000677153749534444,0,0,0,0,0,0,0,0,0,0.0227539661344781,0,0,-0.0104486375718513
SPX.INDEX,0,0.0000000168669372225068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110623103133183,0,0,-0.139996584753933
VIX.INDEX,0,0.0161912342735083,0,0.155983577177401,0,0,-0.00354933252206107,0,0,0,-0.111441343918097,0,0,0,0,0,-0.154457369073845,0,-1.40856899297452,0
