,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,ADA,XTZ,CRO,XLM,LINK,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.133670832833293,0,0.14972382575191,0,0,0,0,0.0813351053947592,0,0,0,0,0,0,0,0,0,0,0.0112061300624532
ETH,0.107157107624573,0,0,0.0438204733008142,0.0960554625261062,0,0,0.0461792935686821,0.190998588181376,0.261575777398893,0,0,0,0,0,0,0,0,0,0.0114949475073873
XRP,0,0.177405193203209,0,0,0,0,0,0.0424915379106009,0.123531581319722,0.032409004571809,0,0,0,0,0,0,0,0,0,0.0204064391713652
BCH,0,0.41292632251253,0,0,0,0,0,0,0.0883063326737824,0,0,0,0,0,0,0,0,0,0,0.00935901728722193
BSV,0,0.303773849692651,0,0.184696951589896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.25554891490008,0,0,0,0,0,0.0771022535851412,0.21561469235753,0,0,0,0,0,0,0,0,0,0,0
BNB,0.0601610437907093,0.40874202609259,0,0,0,0,0,0,0.0605349172725204,0.085258611294019,0,0,0,0,0,0,0,0,0,0
EOS,0,0.2473457500615,0,0,0,0.283016576222069,0,0,0.0858720172642587,0,0,0,0,0,0,0,0,0,0,0.0246288348188432
ADA,0,0.232969198363098,0,0,0,0,0,0,0,0.223511638522387,0,0.30118292405851,0,0,0,0,0,0,0,0
XTZ,0,0.249537431845566,0,0,0,0,0,0,0.0943895877509176,0,0,0.0285183931729971,0.338158870544627,0,0.0313020375344927,0,0,0,0,0
CRO,0,0,0,0.190503337644903,0,0,0,0.0379805661589753,0.243284110032804,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0782093839240351,0,0,0,0,0,0.341736019783254,0.157990562962519,0.0301065957998512,0,0.0543913906413546,0,0.0566261154628443,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0.133394663163825,0.265518330196369,0,0,0,0,0,0,0,0,0,0.0309216020089986
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.105567409364713,0.0661427196645886,0,0,0,0,0,0.0316860984993734,0.116915489869264,0.104306353376253,0,0,0,0,0,0,0,0,0,0.0418327132788951
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.00000143744800012509,0,0,0,0,0,0,0,0.0352595314372768,0,0,0.0133159174830735
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139836836409975
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000000153116982127368,0,0,0,-0.0000593148121119023,0,-2.73104935121451,0
