,BTC,ETH,XRP,BCH,BSV,ADA,LTC,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.155785279890171,0,0.107726310879104,0,0.0452342822760961,0,0,0,0.00965898673083705,0,0.000522922506791738,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0363096982438073,0.140696625112981,0.183267744548774,0,0,0,0.0195050710937454,0,0,0,0,0.1312081280682,0,0,0,0,0
XRP,0,0,0,0.00000000000000000346944695195361,0.260197482785172,0.0633449155314938,0,0,0,0,0.0225946937617634,0,0,0,0.0109006613697095,0,0,0,0,0
BCH,0,0.0905674720368368,0,0,0.296715140345826,0.0896978475249593,0,0,0,0.0920693353919,0.068105805209189,0,0,0,0,0,0,0,0,0
BSV,0,0.283228317560537,0,0,0,0,0,0.0647372868173796,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.306734770726673,0.032902664774544,0,0.131988749448261,0,0.216225422692572,0.287050460139224,0,0.139127071882492,0,0,0,0,0.0437411611554371
LTC,0,0.0681087843332855,0,0.112568276847726,0.124908196053704,0.0973582775124367,0,0,0,0,0,0,0,0,0.0101341722902831,0,0,0,0,0
LINK,0,0,0,0,0,0.127841631129784,0,0,0,0,0,0.507709814893287,0,0,0,0,0,0,0,0.025682723660636
BNB,0,0.123591644199554,0,0,0,0.161581449760332,0,0.0519477525308881,0,0,0,0.0549329165223463,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0.176412611485241,0,0,0,0,0,0,0,0,0.307613343777297,0,0,0,0,0
EOS,0,0,0,0.220970978526925,0.154582729450917,0.052362307587119,0,0,0,0,0,0,0,0,0.0707789653525467,0,0,0,0,0
XTZ,0,0.0371839870758848,0,0,0.0949937392098318,0.191766393360904,0,0.284593750003405,0,0.0565733290067048,0,0,0,0,0,0,0,0,0,0
XLM,0,0.0847869653933631,0,0,0,0.186563504186014,0,0.101003174714498,0,0.0443896954384601,0,0.096284148533893,0,0,0.0951250784975179,0,0,0,0,0
XMR,0,0.362921702241995,0,0.025487207687743,0,0,0,0,0,0,0,0.0283733614348026,0,0,0,0,0,0,0,0
TRX,0,0.014152572276066,0,0,0.212911729399952,0.202730212192829,0,0,0,0.172876077905989,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102972958705671
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118694822383071
VIX.INDEX,0,0,0,0,0,0,0,0.00000437823403914309,0,0,0,0,0,0,0,0,-0.166458040623829,0,-1.58627860391113,0
