,BTC,ETH,XRP,LINK,BCH,LTC,BSV,CRO,BNB,ADA,EOS,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0521065869334219,0.0526125944758854,0,0.00980457397222394,0,0.101698430403321,0,0,0,0.0193125619795678,0,0,0.00281950573012399,0.0248810353666261,0,0,0,0,0
ETH,0,0,0.0799991002073077,0.030988252999915,0,0.0326100066166646,0.135981357025814,0,0.0963519868253684,-3.46944695195361e-18,0,0,0,0.182478149335882,0.0942054145566647,0,0,0,0,0
XRP,0,0.0410242908720024,0,0,0,0.0687466730109205,0.208665391723002,0,0,0.0127375400201103,0,0,0,0.141066768254127,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.083380903039038,0,0.843887759749679,0,0,0,0,0,0,0,0
BCH,0,0,0.0237781865220559,0,0,0.402206045411061,0.281006216526737,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00434514126541146,0,0,0.19469990331673,0,0.091661398562361,0,0,0,0.285530362953207,0,0,0,0,0,0,0,0,0
BSV,0,0.0902663430125152,0,0.0160178748750275,0.268520269856743,0.189476842765332,0,0,0,0,0.150278527273748,0,0,0,0.00458318106707579,0,0,0,0,0
CRO,0,0,0,0,0,0.0453557799974684,0.138761461585855,0,0,0.0410047810280717,0,0.0138026062437241,0,0,0,0,0.0547154492825641,0,0,0
BNB,0,0.068482540628011,0,0.0506273988058561,0,0,0.100073544999531,0,0,0.0829370109742502,0,0.0211373523284297,0,0,0.178888591735015,0,0,0,0,0
ADA,0,0,0,0.129994826079199,0,0,0.192899211364617,0,0,0,0,0,0.0184394021119402,0.202430755213465,0.081440880994217,0,0,0,0,0
EOS,0,0,0,0.00332398178514087,0.0905648343298882,0.220157601389533,0.0482879776752785,0,0,0,0,0,0,0.222224042629924,0,0,0,0,0,0
XTZ,0,0,0,0.444231609637061,0,0,0,0,0,0.078499355519076,0,0,0,0.0662928897968666,0.0490145603660255,0,0,0,0,0
XLM,0,0,0,0.0458899629808777,0,0,0,0,0,0.126333041722083,0,0.123844586654937,0,0.0163544399615308,0,0,0,0,0,0
TRX,0,0,3.46944695195361e-18,0,0,0,0.166035300546437,0,0,0.11255078093383,0.134033881562254,0.0803817221379543,0.0762797511948517,0,0,0,0,0,0,0
XMR,0,0.0973919779308076,0.0358982597918537,0,0.374289599047116,0,0,0,0,0.0495590510352988,0,0.0183585333353009,0,0.0202396360699036,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222135131629255,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.00361274910906427,0,0.00632795254854934,0,0,0,0,0.00147313663486002,0,0,0.0114036139878604
SPX.INDEX,0,0,0,0,0,-3.69764091708472e-08,-2.33192010818565e-07,0,0,0,0,0,0,0,0,0,-0.0125496990698453,0,0,-0.109479119894762
VIX.INDEX,0,0,0,0,0,-0.048635328052519,0,0.0355673714105707,0.0399779351864402,-0.0548131547716564,-0.00346104527007249,0.00755857394995965,0,0,0,0,0,0,-1.53446479066844,0
