,BTC,ETH,XRP,LINK,BCH,DOT,BNB,LTC,BSV,CRO,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0789125513269843,0,0.00418039686660385,0,0,0,0.0385563204762061,0.112601197598765,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0651804511923633,0.016399127246273,0,0.00218932935832527,0.168711430552526,0.225155100819163,0.0831569930842188,0,0,0,0.142844214390788,0,0,0,0,0,0,0
XRP,0,0.106469241492879,0,0,0,0,0,0.167915729778811,0.172004810795066,0,0.0469360874718256,0.0309894379358621,0.0119465885718412,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0.203815452591677,0,0,0,0,0,0.0874431162987942,0,0.853502184737655,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.306072702728253,0.312393417674324,0,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.223866832271534,0,0.0578772364758014,0,0,0,0,0.0928492966372888,0,0,0.0841544962189461,0,0.0419103264223949,0,0,0,0,0,0
LTC,0,0.0880196661112797,0,0.00802028696415137,0.321467764265959,0,0,0,0.00921787009296796,0,0.276123544691063,0,0,0,0,0,0,0,0,0
BSV,0,0.073019082033366,0,0.0202885725994277,0.322050428138538,0,0,0.182099717197874,0,0,0.169609541883405,0,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0,0.0609214120587519,0.110608616014293,0,0,0.0112735581296296,0,0.00751928909509735,0,0,0,0,0,0
EOS,0,0,0,0.0074179580587689,0.0470726553070404,0,0,0.390274805402696,0.0334322220167189,0,0,0,0,0.0107614572633384,0,0,0,0,0,0
ADA,0,0.081326090113402,0,0.185503328223688,0.156975686133838,0,0,0.0167355385495433,0.163255569712951,0,0,0,0,0.0196146918432884,0,0,0,0,0,0
TRX,0,0.209381430122269,0,0,0,0.0446176652487561,0,0,0,0,0.108122598000245,0.105637430097635,0,0,0.057684635686879,0,0,0,0,0
XTZ,0,0,0,0.445368184021337,0,0,0,0,0.0124492215125854,0,0.152673213600109,0,0,0,0.0229629519080944,0,0,0,0,0
XLM,0,0,0,0.0865501983981069,0,0,0,0,0,0,0.0980340436986036,0.185290900355523,0.0388718040865431,0.138185753765253,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00603702796974878,0,0,0,0,0,0,0,0,-0.00357766191481571,0,-0.0213201033154881,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,4.34244789249312e-07,0,0,0,0,-1.06515013867207e-06,0,0,0,0,0,0,0,0,-0.0838817998470088
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
