,BTC,ETH,XRP,DOT,BCH,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.131159555386169,0,0,0.0261025627679407,0,0,0,0,0.119922244334986,0,0.00431904373280241,0,0.0296610441627449,0,0,0,0,0,0
ETH,0,0,0.0358481224726611,0,0,0.135516068456059,0.0535892887865641,0,0.250408913556968,0.089900670027,0.0378333806233256,0,0.11459197727423,0,0.0156677190275183,0,0,0,0,0
XRP,0,0.172101760094023,0,0,0.0574984447844866,0,0,0,0.195885671256573,0,0,0,0,0,0.0482135656435546,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0113117277716911,0,0.465283996208015,0.217642447147278,0.00443533151907994,0,0,0,0,0,0,0,0,0
BNB,0,0.263216620828509,0,0,0,0,0.000256762063766774,0,0.0234740872940458,0,0.0356077492126857,0,0.085685055231935,0.0733077107290031,0,0,0,0,0,0.104922667480615
LINK,0,0,0,0.216753565595491,0,0,0,0,0,0,0.11652105654704,0,0,0.824222253084584,0,0,0,0,0,0
CRO,0,0.0729587764483869,0,0,0,0,0,0,0.139607108321999,0,0,0.0237120142549638,0,0,0,0,0,0,0,0
LTC,0,0.162046797030451,0,0,0.238029324803602,0,0,0,0,0.201273229107672,0,0.132030275218098,0,0,0.067505229962495,0,0,0,0,0
BSV,0,0.0744203927988801,0,0,0.321990531316521,0,0,0,0.152442454063025,0,0,0.105316085709338,0,0,0,0,0,0,0,0
ADA,0,0.0659110224289162,0,0,0.20238476682672,0,0.176496696335622,0,0.10333397241865,0,0,0,0,0,0.129011547462209,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.398854772364881,0.014420667922066,0,0,0,0.0339367852655141,0,0,0,0,0,0
TRX,0,0.117955899958242,0,0,0,0,0,0,0,0,0.077558368021419,0.0770914365128339,0,0,0.177325917306342,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.426525709598904,0,0,0,0.0362912240508339,0,0,0,0,0,0,0,0,0
NEO,0,0.15081281062473,0,0,0,0,0,0,0,0,0.0947996184649865,0.145247528319074,0,0.201295297319931,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-1.2721788128267e-07,0,0,0,0,0,0,0,0,0,0,-0.0122268476064707,0,0,-0.0857517730771117
VIX.INDEX,0,0,0,0,0,0.0105083815398428,-0.0039158177839001,0,-0.01445637429573,0,-0.0317232288669228,0,0.025507274626004,0,0,0,0,0,-0.790020153591772,0
